first_name,middle_name,last_name,ssn,birthdate,birthplace,salary,company,department,role
Joshua,Manuel,Baker,628-40-9043,1996-04-29,Jackieport,131688.24,Owens-Holmes,Marketing,SEO Specialist
Mariah,Leslie,Goodman,158-10-9629,1983-09-10,Jeremyland,33813.75,"Herrera, Mercado and Petty",Marketing,Content Creator
Elizabeth,Danny,Phillips,830-01-2468,1988-02-15,Kimberlyville,114769.83,Barber-Lopez,Support,Customer Support
Jerry,Joshua,Allen,416-01-1129,1985-02-02,Kingfurt,61593.39,Wolf-Soto,Support,Support Specialist
David,Deanna,Dixon,186-01-4602,2001-01-23,East Lindseyview,41907.7,"Mcpherson, Williams and Burnett",Engineering,System Architect
Charles,Sean,Torres,885-57-2100,2004-07-18,Garrettchester,40868.58,Moran-Valentine,Marketing,SEO Specialist
Ashley,Pamela,Mullins,210-71-4921,1970-01-07,North Charlesmouth,77311.39,Fisher-Wilson,Support,Technical Support
Lisa,Christina,Hensley,746-97-5841,1967-05-26,Clarkfurt,124075.68,Moore-Christensen,HR,Recruiter
Rachel,Beverly,Barber,199-46-4499,1975-11-06,New Shawnfurt,66313.54,Cook-Larsen,Product,Product Owner
Martin,Mary,Pham,660-56-5457,1984-06-10,Port Christopherfurt,128593.79,Lewis-Anderson,Product,Product Manager
Tina,Tara,Hill,771-51-5763,1970-12-08,Berryport,105338.4,"Watkins, Poole and Cox",HR,Recruiter
Sherry,Stephanie,Nolan,791-55-0602,1977-09-03,East Laura,85639.07,Flores Inc,Product,Product Manager
Jason,Chelsea,West,605-87-4632,1989-02-10,Port Jeremy,119779.94,"Morrison, Padilla and Edwards",Sales,Sales Manager
Tammy,Christopher,Perez,553-95-5043,1986-02-20,Ashleyfurt,55148.77,Foster Ltd,Sales,Sales Representative
Cindy,Michael,Burton,215-82-5281,1976-07-02,East Misty,104649.04,"Hernandez, Orozco and Schmidt",Marketing,Content Creator
Virginia,Richard,Tucker,869-14-6843,1972-06-02,Thompsonfurt,83574.27,"Barnett, West and Evans",Finance,Accountant
Jacqueline,Lisa,Norman,259-31-0743,1981-12-03,Gardnerville,97705.68,"Hill, Allen and Whitaker",HR,Recruiter
Aaron,Ruth,Lopez,079-88-8121,1968-07-29,New Wanda,127723.94,"Adams, Norman and Miller",Marketing,Content Creator
David,Laura,West,457-41-3824,1964-06-23,Gomezview,143682.21,Wagner-Gomez,Engineering,Data Scientist
Patrick,Matthew,Merritt,516-32-0163,1967-03-04,Port Aaron,121626.43,Perry Group,Engineering,Software Engineer
Jonathan,Mandy,Holt,402-45-2753,1998-12-10,Michellefurt,97337.52,"Waters, Anderson and Clark",HR,HR Manager
Tyler,Mary,Stevens,702-60-8034,1979-07-18,Port Jaredborough,53009.19,"Lawrence, Ross and Wiggins",Marketing,Content Creator
Dana,Doris,Bell,422-46-7335,1995-05-29,Jennifermouth,87617.14,Phillips and Sons,Marketing,Content Creator
Richard,Natalie,Grant,174-12-1753,1975-09-19,Ryanmouth,60170.22,Wright-Harrington,Sales,Sales Manager
Vanessa,Daniel,Schmidt,791-50-5745,1985-01-15,Thompsonshire,47922.92,Torres and Sons,Product,UX Designer
April,Katherine,Lewis,499-65-1065,1993-03-18,West Tamara,124541.45,"Bush, Maldonado and Buchanan",Marketing,Content Creator
Brian,Corey,Gutierrez,352-20-9755,1995-01-30,West Ryanborough,37660.45,Anderson-Martin,Finance,Controller
Judy,Jodi,Golden,768-33-8541,1959-05-19,South Henryfort,41292.36,Cisneros and Sons,HR,HR Coordinator
Michael,Nancy,Campbell,345-91-8565,1989-03-12,Haleymouth,57681.56,Ramos Group,Engineering,Data Scientist
Jeffrey,Samuel,Baker,365-53-6521,1988-09-17,Bellport,121929.53,Martinez PLC,Product,Product Manager
Ricky,Kelly,Tanner,774-60-5851,1966-05-24,North Meredithchester,85442.9,"Caldwell, Porter and Rice",Marketing,Content Creator
Ashley,Steven,Sexton,316-46-0615,1958-10-15,Johnsonville,115827.18,"Brooks, Torres and Sanchez",HR,Recruiter
Marc,Amanda,Gibson,353-25-6076,1967-06-21,Wilsonton,75955.84,"Harper, Ortiz and Wilson",Engineering,Data Scientist
Rodney,Brianna,Gutierrez,499-42-7193,2001-04-17,Clarkland,49494.67,"Carrillo, Mills and George",Support,Customer Support
Austin,Vanessa,Schneider,213-86-0309,1990-01-27,Carterborough,114713.32,Wise-Ray,HR,HR Coordinator
Gregory,Shelly,Perez,195-94-6394,1997-09-29,West Walterberg,91033.18,Moyer Group,Engineering,Software Engineer
Travis,Tyler,Moses,587-72-4523,1982-12-04,Kristenside,59078.6,Leblanc Inc,Marketing,Content Creator
Jennifer,Mary,Yang,600-92-0696,1973-04-27,Brookeport,63008.14,Reynolds-Reid,Finance,Financial Analyst
Rachel,Stephen,Pitts,354-51-1412,1959-07-31,Sandraborough,51198.3,Weber Inc,Marketing,SEO Specialist
Bethany,Jonathon,Trevino,609-66-0128,1963-11-29,Lake Brian,111057.85,Raymond Inc,Marketing,Marketing Manager
David,Jessica,Simpson,523-64-0938,1970-12-15,Lake Danielhaven,62562.48,Smith-Holder,Engineering,Software Engineer
David,Carlos,Petty,139-75-7667,1965-01-26,New Amyfort,120484.74,Green-Kelly,HR,HR Coordinator
Michelle,Benjamin,Robles,873-95-4447,1964-10-19,Russellstad,139782.06,Sparks Group,Sales,Sales Representative
Justin,Jasmine,Neal,664-02-9535,1994-05-20,Hunterside,135286.88,Robinson-Novak,Product,Product Manager
Sharon,Thomas,Morales,054-23-5139,1983-10-06,Jamiemouth,78240.41,Macdonald-Lee,Product,Product Owner
